COUNTRY,IMDB,CODE
USA,6.4,
UK,6.5,
USA,6.6,
USA,5.5,
USA,7.6,
USA,6.8,
USA,8,
USA,7,
USA,7.8,
USA,6.8,
USA,6.7,
USA,7.6,
USA,6.6,
USA,7.3,
USA,4.3,
USA,7.2,
USA,5.8,
USA,6.9,
USA,7.6,
USA,6.1,
USA,7,
USA,7.9,
USA,7.6,
USA,7.2,
USA,6.8,
USA,7.5,
USA,8.3,
USA,7.3,
Germany,5.6,
USA,6.9,
USA,6.5,
USA,6.7,
USA,7.9,
USA,7.8,
USA,5.1,
USA,7.5,
USA,6.7,
USA,7.5,
USA,6.7,
USA,5.8,
USA,7.8,
USA,6.4,
USA,6.4,
USA,6.3,
USA,5.5,
USA,7.3,
USA,5.1,
USA,7.1,
USA,6.9,
USA,8.1,
USA,7.1,
USA,6.9,
USA,8.2,
USA,6.4,
USA,7,
USA,6,
USA,7.2,
USA,5.6,
UK,7,
USA,5.2,
USA,6.5,
USA,7.8,
South Africa,8,
USA,7.2,
USA,7.5,
USA,7.3,
USA,6.7,
USA,6.5,
USA,6.9,
USA,4.8,
USA,6.2,
USA,6.1,
USA,6.8,
USA,7.1,
USA,6.7,
Canada,5.5,
USA,4.6,
USA,6.6,
USA,5.4,
USA,7.3,
USA,8.7,
USA,6,
USA,4.1,
USA,8,
USA,7.3,
USA,6.9,
USA,7.7,
USA,5.7,
USA,7,
USA,6.1,
USA,6.1,
USA,5.9,
Japan,6.3,
USA,5.5,
USA,6.1,
USA,7.3,
USA,7.7,
Australia,5.5,
USA,7.1,
USA,5.5,
USA,7.4,
USA,7.7,
UK,7.1,
USA,6.3,
USA,6.2,
USA,6.8,
USA,5.5,
USA,8.9,
USA,6.3,
USA,6.7,
USA,7.7,
USA,7.2,
USA,3.7,
USA,6.3,
USA,7.9,
USA,8,
USA,6.2,
UK,7,
USA,6.7,
UK,7.2,
USA,7.4,
USA,6.2,
USA,7,
USA,6.4,
Canada,6.2,
USA,6.2,
USA,7.6,
USA,5.4,
USA,6.7,
USA,6.4,
USA,6.3,
USA,7.1,
USA,6.3,
USA,5.5,
USA,7.7,
USA,5.8,
USA,5.8,
USA,6.1,
USA,7.3,
USA,6.5,
USA,6.4,
USA,7.2,
USA,6.5,
USA,5.7,
USA,6.3,
USA,7.5,
USA,7.8,
USA,6.8,
USA,5.5,
USA,7.8,
USA,8.1,
USA,7.8,
USA,5.2,
USA,6.6,
USA,7,
USA,7,
USA,5.8,
USA,6.5,
USA,7.2,
USA,6.7,
USA,6.1,
USA,6.1,
USA,7,
USA,5.8,
USA,8.3,
USA,6.6,
USA,6.8,
USA,7.4,
USA,6.5,
USA,4.8,
USA,6.9,
USA,5.9,
USA,6.9,
USA,6.6,
USA,3.8,
USA,8.1,
USA,6,
USA,5.7,
USA,5.4,
USA,7.2,
USA,7.9,
USA,4.6,
USA,8.6,
USA,6.9,
USA,5.5,
USA,7.6,
USA,7.6,
USA,6.5,
USA,5.8,
USA,6.3,
USA,6.8,
USA,4.1,
USA,7,
USA,7.7,
USA,7.6,
USA,8.9,
USA,8,
USA,7.4,
USA,7.2,
USA,4.3,
USA,6.8,
USA,5.7,
USA,6.2,
USA,7.5,
USA,7.2,
USA,6.1,
USA,6.9,
USA,3.7,
USA,7.8,
USA,7,
USA,6.4,
USA,7.4,
USA,5.1,
USA,6.7,
USA,7.3,
USA,5.7,
USA,7.9,
USA,7.4,
USA,6.5,
USA,5.2,
USA,6.1,
USA,6.6,
USA,5.2,
Germany,7.2,
USA,7.6,
USA,7.6,
USA,6.7,
USA,7.6,
USA,6.6,
USA,6,
USA,5.8,
UK,7,
USA,7.3,
USA,4.9,
UK,8.1,
USA,6.1,
USA,6.7,
USA,5.9,
USA,7.2,
USA,6.6,
USA,5.1,
USA,6.6,
USA,6.2,
USA,6.5,
USA,4.5,
USA,6.4,
USA,6.3,
USA,7.1,
USA,6,
USA,5.5,
USA,8,
USA,4.6,
USA,6.6,
USA,6.2,
USA,7.3,
USA,6.5,
France,6,
USA,5.5,
USA,7,
USA,6.5,
UK,5.9,
USA,5.6,
USA,7.1,
USA,7.6,
USA,6.1,
USA,6.1,
USA,5.9,
USA,6.2,
USA,7.4,
USA,7,
USA,7.2,
USA,6.6,
USA,6.8,
USA,6.2,
USA,8,
USA,5.7,
USA,7,
USA,5.2,
USA,5,
USA,7.6,
USA,5.1,
USA,7.1,
USA,7,
USA,6.9,
USA,8.4,
USA,6.7,
USA,5.7,
USA,4.9,
USA,6.2,
USA,7.5,
USA,5.4,
USA,7.4,
USA,4.9,
USA,7.2,
USA,6.4,
USA,6.8,
USA,6,
USA,7,
USA,7.4,
USA,5.8,
USA,6.6,
USA,5.8,
USA,6.1,
USA,7.8,
USA,6.7,
USA,7.5,
USA,6.9,
USA,7.1,
USA,7.7,
USA,6.5,
USA,6,
Germany,5.5,
USA,5.9,
USA,7.3,
USA,5.4,
USA,7.3,
USA,7.5,
USA,6.5,
USA,4.6,
USA,6.4,
USA,7.2,
USA,5.6,
USA,5.8,
USA,6.3,
USA,6.4,
USA,6.7,
USA,6.3,
USA,7.3,
USA,6.8,
USA,7.1,
USA,8.2,
USA,7.3,
USA,7.1,
USA,6.4,
USA,6.7,
USA,6.8,
Canada,5.1,
USA,5,
USA,6,
USA,5.7,
USA,5.2,
USA,5.6,
USA,6.1,
USA,5.1,
Germany,5.7,
USA,6.1,
USA,6.2,
USA,6.9,
USA,7,
USA,7,
USA,6.4,
USA,6.3,
USA,6.5,
USA,6.2,
USA,7.2,
USA,5.9,
USA,6.2,
USA,7.1,
USA,4.2,
USA,5.5,
USA,7.3,
UK,8.5,
USA,7.7,
France,6.1,
USA,8.5,
USA,5.6,
Germany,6.7,
USA,6,
USA,7.4,
USA,7.1,
USA,7.1,
USA,6.1,
USA,6.2,
USA,7.7,
USA,7.5,
USA,7.4,
France,7.6,
USA,7.7,
USA,6.1,
Germany,6.8,
France,6.6,
USA,7.3,
USA,6.4,
USA,6.1,
USA,7.4,
Germany,6.1,
USA,6.3,
USA,7.8,
USA,6.6,
USA,7.9,
USA,7.7,
UK,7.2,
USA,6.7,
USA,4.9,
USA,6.7,
USA,7,
USA,6.6,
USA,6.6,
USA,7.6,
USA,5.6,
USA,8.4,
USA,7,
USA,7.7,
USA,6.7,
USA,6.8,
USA,6.5,
USA,5,
USA,7.7,
USA,7.7,
USA,7.2,
USA,6.3,
USA,6.7,
USA,5.1,
USA,7.2,
USA,6.6,
USA,7.2,
USA,6.5,
USA,6.9,
USA,5.7,
USA,8.1,
USA,3.4,
USA,8.1,
USA,6.3,
USA,7.5,
USA,5.2,
USA,6.6,
USA,5.8,
USA,7.4,
USA,7.5,
USA,7,
USA,5.7,
USA,6.4,
USA,6.6,
USA,5.4,
USA,1.6,
USA,6,
Germany,5.6,
UK,6.4,
USA,7.8,
USA,7.6,
USA,6.9,
USA,6.6,
USA,5.6,
USA,6.9,
USA,6.9,
USA,7.9,
USA,6.8,
USA,7.3,
USA,7.3,
Canada,6.2,
USA,6.5,
USA,7.5,
UK,6.7,
USA,7.3,
USA,7.1,
USA,6.7,
UK,7.3,
USA,5.2,
USA,6.6,
USA,6.8,
USA,4.4,
USA,7,
USA,5.4,
USA,7.5,
USA,8.1,
USA,5.9,
USA,6.2,
USA,8.2,
USA,6.7,
USA,6,
France,8,
USA,5.8,
Germany,5.9,
USA,7.2,
USA,6,
USA,7.8,
USA,5.6,
USA,4.6,
USA,6.4,
USA,5.4,
USA,8.1,
USA,6.1,
USA,6.5,
USA,7.2,
USA,7.1,
USA,7.7,
USA,6.2,
USA,6.1,
USA,6.5,
USA,5.8,
USA,6.1,
USA,6,
USA,6.8,
USA,5.4,
USA,5.1,
USA,6.9,
USA,6.4,
UK,6,
USA,5.9,
USA,6.5,
USA,5.9,
USA,5.9,
USA,6,
USA,6.3,
USA,5.9,
UK,6.6,
USA,6.6,
USA,6,
USA,6.2,
USA,5.3,
USA,7.1,
USA,6.7,
Germany,6.9,
USA,7.2,
USA,7.2,
USA,5.8,
USA,5.7,
USA,5.5,
USA,6.2,
USA,4.8,
USA,5.7,
USA,6.1,
USA,6.5,
USA,4.4,
USA,7.6,
USA,7.1,
Australia,6.8,
USA,7.5,
USA,6.5,
USA,6.7,
USA,7.4,
USA,5.2,
USA,5.8,
USA,6.4,
USA,6.9,
USA,8,
USA,8,
USA,5.7,
USA,5.8,
USA,4.7,
USA,6.6,
USA,6.8,
USA,7,
USA,5.5,
USA,4.8,
USA,4.6,
USA,5.7,
USA,7.4,
USA,6.4,
USA,6.5,
USA,5.7,
USA,5.9,
USA,6.3,
USA,6.2,
USA,6.2,
USA,7.2,
UK,6.1,
USA,6.8,
USA,7.2,
USA,5.7,
USA,5.6,
USA,5.4,
USA,6.9,
USA,8.3,
USA,7.1,
USA,5,
UK,6.7,
USA,5.7,
USA,7.5,
USA,6.6,
USA,6,
Canada,5.8,
USA,5.4,
USA,6.4,
USA,6.2,
Australia,5.9,
USA,6.2,
USA,6.6,
USA,6.3,
USA,6.4,
UK,7,
France,7.7,
USA,6.3,
USA,7.1,
USA,6.3,
USA,5.8,
USA,5.9,
USA,5,
USA,6.9,
USA,6.1,
USA,6.8,
USA,5.3,
USA,5.8,
USA,7.2,
UK,6.3,
Germany,7.1,
USA,7,
UK,7.3,
USA,6,
USA,7.1,
UK,5.9,
USA,6.4,
USA,6.8,
UK,6.8,
USA,5.8,
USA,6.8,
USA,6.7,
USA,8,
USA,6.6,
USA,7.4,
USA,5.2,
USA,6.2,
USA,6.3,
USA,4.4,
UK,6.9,
USA,7.5,
USA,8.1,
USA,5.6,
USA,5.6,
USA,5.6,
USA,7.1,
USA,5.4,
USA,4.9,
USA,7.3,
USA,6.6,
USA,6.2,
USA,6.5,
Germany,5.2,
USA,7,
USA,7,
USA,6,
USA,6,
Germany,5.9,
USA,4.4,
USA,7.1,
USA,5.8,
USA,5.9,
USA,4.9,
UK,4.9,
USA,5.8,
USA,7.9,
USA,6.8,
USA,7.8,
USA,7.2,
USA,5.6,
USA,6.4,
USA,5.8,
USA,6.1,
USA,5.2,
UK,7.7,
USA,8.1,
USA,6.4,
USA,6.8,
USA,6.6,
USA,7.4,
USA,6.1,
USA,6.8,
UK,7.2,
USA,5.4,
USA,6.9,
USA,6.2,
USA,6.8,
USA,6.4,
USA,7.1,
USA,6.6,
USA,7.5,
USA,7.1,
USA,4.3,
USA,7.3,
USA,6.8,
USA,6.8,
USA,5.9,
USA,6.2,
USA,7.3,
USA,6.1,
USA,6.5,
UK,7,
USA,6.2,
USA,5.6,
USA,6.7,
USA,7.8,
USA,6.6,
USA,7.6,
Germany,8,
Peru,5.4,
USA,9,
USA,6.7,
USA,6.1,
USA,5.9,
USA,7.3,
USA,6.6,
USA,6.4,
Spain,7.7,
USA,5.8,
USA,6.7,
UK,8.3,
USA,6.5,
USA,5.9,
USA,8.1,
USA,6.8,
Canada,6.4,
USA,6.9,
USA,7.8,
USA,6.6,
UK,7.3,
USA,5.7,
USA,7.9,
UK,7.6,
USA,5.4,
USA,4.3,
USA,6.9,
UK,7.5,
USA,6.1,
USA,7,
USA,6.1,
USA,6.3,
UK,5.5,
USA,6.4,
USA,5.7,
USA,6.6,
USA,4.8,
USA,5.9,
Germany,6.1,
USA,7,
UK,7.3,
USA,5.9,
UK,6.2,
USA,6.4,
USA,6.7,
USA,7,
USA,6,
USA,5.4,
USA,5.6,
USA,7.7,
USA,6.1,
USA,6.3,
USA,5.2,
USA,6.3,
USA,7.8,
USA,6.3,
USA,6.7,
USA,7.2,
USA,7.5,
Germany,7.9,
USA,5.7,
USA,6.3,
UK,6.4,
USA,6.8,
USA,6.5,
USA,7.3,
UK,7.7,
USA,7.6,
USA,6.8,
USA,7.9,
Hong Kong,6.3,
USA,7.9,
Germany,5.8,
USA,7.8,
USA,6.8,
USA,6.1,
USA,4.6,
USA,7,
USA,6.3,
USA,6.6,
USA,6.3,
USA,5.7,
USA,7.1,
USA,7.8,
USA,7.4,
USA,6.7,
USA,7.5,
USA,4.2,
USA,6.7,
USA,6.1,
USA,6.3,
USA,8.5,
USA,6.5,
USA,7.6,
USA,7.5,
USA,6.4,
USA,7.4,
USA,6.1,
UK,6.8,
USA,6.7,
UK,7.1,
USA,6.6,
USA,5.6,
USA,5.6,
USA,4.7,
USA,6.3,
USA,7.5,
USA,5.9,
USA,7.6,
USA,6.8,
USA,7,
USA,8.1,
USA,6.9,
Canada,6.1,
UK,7.5,
USA,7.8,
USA,6.4,
USA,6.7,
USA,6.6,
USA,6.4,
USA,4.3,
USA,7.3,
USA,5.5,
USA,4.1,
USA,7.8,
USA,8.3,
USA,6.8,
USA,5.5,
UK,7,
USA,7.3,
USA,5.1,
USA,5.9,
USA,7.6,
USA,6.4,
UK,7.4,
UK,6.7,
USA,6.4,
USA,6.4,
UK,7.8,
USA,5.9,
USA,6.5,
USA,6.1,
USA,6.8,
UK,7.8,
USA,7.8,
USA,4.4,
UK,6.1,
USA,7,
USA,6.8,
USA,6.9,
USA,7.4,
USA,6.4,
Germany,6.2,
USA,5.8,
USA,7.6,
USA,7.6,
France,6.3,
USA,5.6,
USA,6.2,
USA,6.8,
USA,5.6,
UK,6.3,
USA,6.4,
USA,5.3,
USA,7.4,
USA,7.3,
USA,6.9,
USA,6.2,
USA,5.4,
USA,5.4,
USA,6.2,
USA,6.7,
USA,7.3,
USA,8,
USA,6.3,
USA,6.9,
USA,5.9,
USA,6.5,
USA,5.9,
USA,7.2,
Australia,6.6,
USA,5.4,
USA,5.4,
USA,5.7,
USA,7.4,
USA,5.9,
USA,6.1,
USA,7.3,
USA,6.4,
USA,7.2,
USA,5.8,
USA,6.1,
USA,2.7,
USA,5,
USA,5.3,
USA,5.8,
USA,6.7,
USA,7.8,
USA,5.5,
USA,7.7,
USA,5.8,
USA,4.3,
USA,7.3,
USA,3.7,
USA,6.8,
UK,7.7,
USA,6,
USA,6.1,
USA,5.4,
USA,5,
USA,5.9,
USA,5.4,
USA,6.5,
USA,6.6,
USA,6.3,
USA,6.7,
USA,5.8,
USA,7.3,
USA,5.4,
USA,7.1,
USA,7.2,
France,7.6,
USA,5.4,
USA,6.5,
USA,5,
USA,5.9,
USA,6.6,
USA,7.4,
USA,6.4,
USA,6.9,
USA,5.4,
USA,7.9,
Canada,6.6,
USA,7.3,
USA,7.2,
USA,7.6,
USA,8.7,
USA,6.3,
USA,6.1,
UK,7.1,
USA,5.5,
USA,5.9,
USA,6.1,
USA,7.1,
USA,6.2,
UK,7.1,
UK,7.3,
USA,4.1,
USA,6.8,
USA,7.6,
USA,6.5,
USA,5.8,
USA,6.7,
USA,6.2,
UK,7.2,
USA,7.1,
USA,6.6,
Canada,5.6,
USA,6.6,
USA,6.3,
USA,7.8,
UK,7.8,
USA,6,
USA,6.5,
USA,7.3,
USA,5.9,
USA,6.5,
USA,5.5,
Germany,6.6,
South Africa,6.5,
UK,7.6,
USA,5.9,
USA,8.1,
USA,7.3,
USA,6.9,
USA,5.6,
USA,5.6,
USA,6.6,
USA,6.5,
USA,6.8,
USA,8.3,
France,8,
USA,6.3,
USA,7.1,
USA,7.8,
USA,6.9,
Germany,7.3,
USA,7.4,
Mexico,7.6,
USA,6.7,
Canada,5.8,
USA,7.2,
USA,7.3,
China,7.8,
USA,6.7,
USA,6.1,
USA,5.9,
USA,5.9,
USA,7.1,
USA,7.4,
USA,3.9,
UK,6.7,
USA,5.3,
USA,7.1,
USA,7.6,
USA,6.7,
USA,4.3,
USA,6.5,
USA,7.1,
USA,6.9,
USA,6.6,
USA,4.9,
UK,6.6,
UK,7.1,
USA,6.4,
UK,6.9,
USA,6.3,
France,6.3,
USA,6.2,
USA,7.1,
USA,6.5,
USA,6.1,
USA,4.9,
USA,7.7,
USA,5.3,
USA,4.8,
USA,6.8,
USA,4.8,
USA,6.1,
USA,5.5,
USA,6.2,
USA,5.9,
USA,7.2,
USA,8.2,
USA,6.2,
UK,7,
Germany,5.4,
USA,7.8,
USA,5.6,
Spain,6.1,
USA,5.3,
USA,6.2,
USA,6.6,
USA,6.5,
USA,7,
USA,6.4,
USA,6.4,
USA,7.8,
USA,7.6,
USA,5.5,
USA,5.1,
USA,4.7,
USA,6.4,
UK,7.3,
USA,7.6,
USA,6.3,
USA,6.6,
USA,6.3,
USA,7.6,
USA,7.3,
USA,6.3,
UK,7.3,
USA,5.9,
USA,6.5,
USA,7.4,
USA,5.7,
USA,6.1,
USA,6.7,
France,5.6,
USA,7.7,
USA,7.1,
USA,6.3,
USA,6,
USA,6.5,
USA,5.6,
Canada,5.4,
UK,7.1,
USA,6.2,
USA,6.9,
USA,3.3,
USA,6.2,
USA,7.6,
USA,6.8,
USA,6.3,
USA,8.1,
UK,5.9,
USA,3.3,
USA,5.2,
New Zealand,7.6,
USA,7.6,
USA,5.6,
USA,6,
USA,3.5,
USA,6.4,
USA,5.5,
USA,5.1,
USA,4.6,
USA,5.2,
USA,7.6,
USA,7.4,
USA,6.6,
USA,2.3,
USA,6.2,
France,6.3,
USA,7.5,
USA,6.6,
USA,6.1,
UK,6.7,
USA,6.7,
USA,5.9,
USA,7.3,
USA,5.3,
USA,6.4,
USA,5.6,
USA,7.1,
USA,6.1,
USA,6.1,
USA,6.7,
USA,7.1,
USA,8.1,
USA,3.5,
USA,5.6,
USA,5,
USA,6.5,
USA,5.9,
UK,7.6,
USA,6.6,
France,6.7,
USA,5.8,
USA,6.9,
USA,7,
USA,4.4,
USA,6.8,
USA,5.1,
USA,6.3,
USA,3.6,
USA,5.9,
USA,6.9,
USA,7.6,
UK,8.1,
France,7.8,
USA,6.4,
UK,7.7,
UK,7.5,
USA,6.3,
USA,2.7,
USA,5.8,
USA,6.9,
USA,6.2,
USA,7.2,
USA,6.6,
USA,6.6,
USA,7.1,
USA,7.1,
USA,6.4,
USA,5.2,
USA,6.6,
USA,5.5,
USA,6.2,
USA,5.6,
USA,4.4,
USA,7,
USA,5.9,
USA,5.7,
USA,6,
USA,7.1,
USA,5.4,
USA,7.3,
USA,6.1,
USA,6.3,
USA,5.5,
USA,7.3,
UK,7.6,
USA,5.5,
USA,5.4,
Spain,8.2,
USA,6.8,
USA,5.9,
USA,6.9,
USA,5.1,
USA,6.7,
USA,5.9,
USA,6,
USA,5.3,
USA,7.4,
Germany,6.1,
USA,6.2,
USA,7.1,
USA,7,
USA,7,
USA,6.6,
USA,4.8,
USA,5.7,
USA,3.3,
USA,5.8,
Germany,6.1,
USA,6.4,
USA,6.4,
USA,6,
USA,8.8,
USA,5.2,
USA,6,
USA,5.6,
Germany,6.6,
USA,6.3,
France,6.6,
USA,4.9,
USA,7.1,
USA,6.5,
France,6.4,
USA,3.5,
Germany,7.5,
USA,7.6,
USA,7,
USA,7.6,
USA,6.1,
Germany,6.5,
USA,6.1,
Australia,6.2,
USA,5.7,
USA,5.2,
USA,6.4,
USA,6.8,
Germany,4.7,
USA,6.6,
USA,6.8,
USA,6.7,
USA,5.8,
USA,3.7,
USA,7.5,
UK,7.7,
Australia,7.7,
USA,6.9,
USA,6,
USA,7.8,
UK,6.7,
USA,5.9,
USA,6.3,
USA,6.1,
USA,6,
USA,6.7,
UK,6.8,
USA,4.6,
USA,5.6,
USA,7,
USA,7.9,
USA,5.9,
USA,3.6,
USA,6.5,
USA,7.2,
UK,6.7,
USA,6.5,
USA,5.6,
USA,6.3,
USA,6.4,
USA,6.5,
USA,7.8,
USA,6.3,
France,6.9,
USA,5.6,
USA,5.6,
USA,5.8,
USA,7.7,
USA,5.2,
USA,4.9,
USA,6.7,
USA,5.6,
USA,6.7,
USA,7.7,
UK,6.6,
USA,6.6,
USA,5.8,
UK,7.4,
USA,7.3,
USA,5.9,
UK,7.1,
USA,7,
USA,5.1,
USA,7.3,
USA,5.7,
USA,4.8,
USA,5.1,
France,7.5,
Germany,5.5,
USA,6.6,
USA,6,
USA,7.6,
USA,8.3,
USA,7,
USA,6.5,
USA,6.7,
USA,6.5,
Germany,5.6,
USA,7.3,
UK,5.7,
UK,5.8,
USA,4.8,
USA,5.8,
USA,6.8,
USA,6.4,
USA,5.5,
USA,6.5,
USA,4.2,
USA,6,
USA,5.6,
USA,6.3,
USA,7.1,
UK,7.5,
USA,7.2,
USA,5.8,
USA,6.5,
Japan,3.8,
USA,4.8,
USA,7.5,
USA,7.3,
USA,4.9,
USA,5.4,
USA,5.1,
USA,6.7,
USA,6.5,
UK,7.3,
USA,6.5,
France,8.4,
USA,7.2,
USA,5.4,
UK,6.6,
USA,7.7,
USA,6,
USA,4.9,
USA,6.9,
USA,5.8,
USA,6.1,
USA,5.8,
USA,5.7,
USA,4.3,
USA,7.2,
USA,6.5,
USA,6.6,
USA,6.9,
USA,6.6,
USA,6.9,
USA,6.4,
USA,4.5,
USA,5.9,
USA,6.2,
UK,6.3,
UK,6.7,
USA,7.9,
France,8.5,
USA,5,
USA,6.2,
USA,7.7,
Canada,5.3,
USA,6.7,
Hong Kong,6.7,
USA,7.9,
USA,6.7,
USA,3.8,
USA,7.1,
USA,6.4,
USA,4.9,
USA,5.9,
UK,5.4,
USA,5.5,
USA,6,
USA,6.6,
Australia,5.3,
USA,3.5,
USA,6.5,
USA,8.5,
USA,7.2,
USA,6.4,
USA,7.6,
USA,7.1,
USA,6.1,
USA,7.6,
USA,6.9,
USA,5.6,
USA,7.1,
USA,5,
USA,6,
UK,6.7,
USA,7.5,
Canada,5.6,
USA,6.9,
USA,6.8,
USA,6.8,
USA,6.1,
USA,6.4,
USA,6.9,
USA,5.7,
USA,4.6,
USA,7.5,
USA,7.5,
USA,7.5,
USA,6.7,
USA,7.6,
USA,6.6,
USA,5.4,
USA,7.1,
USA,6,
USA,4.3,
USA,6,
USA,6.2,
USA,6.9,
USA,5.5,
USA,6.5,
USA,5.4,
USA,5.1,
UK,6.7,
USA,6.5,
USA,5,
USA,5.7,
USA,7.5,
USA,8.1,
USA,6.7,
USA,6.2,
USA,6.2,
USA,6.2,
USA,6.4,
USA,7.4,
USA,5,
USA,6.2,
USA,6.9,
USA,5.7,
UK,6.6,
USA,5.7,
USA,6.2,
USA,5.2,
USA,5.6,
France,6.3,
USA,4.1,
USA,7.6,
USA,5.3,
USA,5.3,
USA,5.7,
USA,5.6,
USA,6.7,
USA,4.5,
USA,5.5,
UK,8.3,
USA,5.5,
USA,6.1,
USA,6.9,
USA,6.5,
UK,7.3,
USA,5.3,
UK,7.5,
USA,5.4,
UK,6.4,
Australia,6.5,
UK,6.4,
USA,6.4,
USA,6.4,
USA,6.5,
USA,6,
USA,4.7,
USA,6.5,
USA,5.8,
USA,5.1,
Germany,4.6,
UK,3.3,
USA,6.9,
USA,5.7,
USA,6.6,
USA,6,
USA,7,
UK,6.1,
USA,5.9,
USA,7.9,
USA,5.3,
USA,7.1,
USA,4.1,
USA,7.3,
USA,4.8,
USA,6.8,
USA,5.3,
USA,6.6,
Canada,7.4,
USA,6.4,
USA,6.2,
USA,6.2,
UK,7,
USA,5,
USA,6.9,
USA,5.3,
USA,7.1,
USA,5.7,
USA,5.5,
Australia,5.4,
USA,9.3,
USA,6.3,
USA,5.9,
USA,5,
USA,6.1,
UK,5.2,
USA,7.4,
USA,6.1,
UK,6.1,
USA,7.5,
USA,7.3,
USA,5.6,
USA,7,
USA,6.9,
USA,6.1,
USA,5.2,
USA,6.5,
Canada,6,
UK,6.2,
USA,4.4,
USA,7.9,
USA,5.9,
USA,6.3,
USA,7.2,
USA,6.6,
USA,6.5,
USA,6,
USA,6.1,
USA,8,
USA,6.8,
USA,7.7,
UK,7.6,
UK,8.2,
USA,6.7,
USA,2.5,
Germany,7.5,
USA,5.9,
USA,5.9,
Germany,4.7,
USA,6.1,
USA,8.2,
USA,5.3,
UK,8.1,
USA,4.9,
Japan,3.9,
USA,6.4,
USA,7.9,
UK,6.7,
USA,7.6,
USA,6.7,
USA,7.3,
USA,5.9,
UK,6.7,
USA,6.7,
USA,4.8,
USA,5.9,
Germany,6.5,
USA,6.8,
USA,7.5,
USA,6.6,
USA,6.6,
USA,4,
USA,6.8,
USA,5.3,
